               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,            0.070475,            0.050901,            0.039282,             0.26586,             0.48599,             0.27502,            0.079929,            0.058993,            0.066785,            0.038509,          0.00019503,          0.00019503,            0.090595
                  97,            0.076507,            0.068025,            0.039302,             0.26559,             0.48785,             0.27566,            0.080186,            0.059033,            0.066554,            0.038486,          0.00019572,          0.00019572,            0.090496
                  98,            0.074567,            0.063028,            0.039661,             0.26579,             0.49306,             0.28432,            0.081663,            0.059224,            0.066247,            0.038472,          0.00019677,          0.00019677,            0.090397
                  99,            0.073955,            0.070966,             0.03932,             0.26658,             0.49582,             0.28434,            0.081671,            0.059083,            0.066116,            0.038455,           0.0001982,           0.0001982,            0.090298
                   0,            0.090569,            0.057108,            0.042271,             0.22884,             0.64628,             0.22854,            0.059345,             0.05647,            0.049571,            0.038772,             0.00037,             0.00037,             0.09667
                   1,            0.066043,            0.048868,            0.036633,              0.3357,             0.64473,             0.35842,             0.10773,            0.050715,            0.040412,            0.034247,          0.00074985,          0.00074985,             0.09325
                   2,            0.061947,            0.042144,            0.032228,             0.33091,             0.72577,             0.49261,             0.14141,            0.040966,            0.035667,            0.024476,           0.0011291,           0.0011291,            0.089829
                   3,            0.060301,            0.037571,            0.024088,             0.56437,             0.79919,             0.73899,             0.29858,            0.040707,            0.030212,             0.02026,           0.0015073,           0.0015073,            0.086407
                   4,            0.055913,            0.035701,            0.021178,             0.53443,             0.84229,             0.68052,             0.30753,            0.036087,            0.029343,            0.018963,            0.001884,            0.001884,            0.082984
                   0,             0.10897,            0.050283,            0.045437,           0.0041643,             0.29143,           0.0015985,          0.00023346,            0.099021,            0.049219,            0.042797,             0.00012,             0.00012,             0.09892
                   1,            0.088015,             0.06018,            0.041937,            0.073583,             0.34209,            0.046028,            0.012075,            0.065024,            0.060008,            0.039651,           0.0002498,           0.0002498,             0.09775
                   2,            0.073932,            0.060591,            0.039285,             0.21922,             0.70333,             0.24355,            0.055157,            0.056715,            0.049763,            0.038845,           0.0003788,           0.0003788,            0.096579
                   3,            0.068206,            0.052309,            0.038082,             0.18432,              0.6679,             0.18357,            0.064746,            0.052301,            0.054648,            0.037382,          0.00050639,          0.00050639,            0.095406
                   4,             0.06608,            0.047185,            0.036319,             0.21039,              0.5654,             0.23273,            0.077429,             0.05068,            0.045163,            0.035308,          0.00063196,          0.00063196,            0.094232
                   5,            0.064637,            0.045081,            0.035301,             0.34465,             0.54986,             0.36654,             0.15419,            0.051021,            0.041381,            0.034127,          0.00075493,          0.00075493,            0.093055
                   6,            0.062431,            0.042996,            0.034183,             0.35574,             0.40222,              0.4357,             0.20352,            0.041286,            0.040046,            0.032145,          0.00087472,          0.00087472,            0.091875
                   7,            0.061258,            0.041393,            0.032611,             0.37511,              0.5396,             0.51935,             0.17624,            0.044252,            0.037082,            0.028864,          0.00099079,          0.00099079,            0.090691
                   8,            0.060171,            0.040159,            0.029851,             0.38593,             0.59701,             0.51275,             0.17373,            0.047958,            0.036027,            0.024714,           0.0011026,           0.0011026,            0.089503
                   9,             0.06181,             0.03792,            0.026383,             0.45492,             0.63481,             0.54302,             0.18186,            0.049331,             0.03386,            0.022057,           0.0012097,           0.0012097,             0.08831
                  10,            0.059445,             0.03719,            0.023738,             0.44453,             0.68977,             0.65542,             0.20736,            0.042885,             0.03294,            0.020708,           0.0013115,           0.0013115,            0.087112
                  11,            0.058103,            0.036567,            0.022721,             0.45094,             0.92745,             0.58042,             0.17807,            0.045176,            0.031238,            0.020283,           0.0014077,           0.0014077,            0.085908
                  12,            0.055989,              0.0354,             0.02186,             0.52267,             0.92194,              0.7272,             0.40036,            0.034199,            0.031007,            0.019722,           0.0014979,           0.0014979,            0.084698
                  13,            0.054326,            0.036008,            0.021212,             0.67781,             0.78147,             0.73049,              0.3658,            0.040176,            0.028852,             0.01927,           0.0015816,           0.0015816,            0.083482
                  14,            0.053327,            0.035714,            0.020689,               0.348,             0.74704,             0.59414,             0.30201,            0.040242,            0.028806,             0.01903,           0.0016586,           0.0016586,            0.082259
                  15,            0.052041,            0.033974,            0.020633,             0.49525,             0.97219,             0.69834,             0.33772,            0.039542,            0.027367,            0.018617,           0.0017287,           0.0017287,            0.081029
                  16,            0.050611,            0.033436,            0.019978,             0.47721,             0.95386,             0.69206,             0.37847,            0.033862,            0.027582,            0.018337,           0.0017915,           0.0017915,            0.079792
                  17,             0.04945,            0.033141,              0.0199,             0.53789,              0.9868,             0.69692,             0.39683,             0.03058,            0.029306,            0.018116,            0.001847,            0.001847,            0.078547
                  18,            0.047534,            0.032343,            0.019508,             0.51458,              0.9538,             0.72314,             0.35263,            0.034308,            0.026081,            0.017857,            0.001895,            0.001895,            0.077295
                  19,            0.046411,            0.032244,            0.019323,             0.63305,             0.92765,             0.70469,             0.40115,            0.029979,            0.026096,            0.017314,           0.0019354,           0.0019354,            0.076035
                  20,            0.045777,             0.03198,            0.019173,             0.54942,             0.93171,             0.79325,             0.38015,            0.032244,            0.025513,             0.01729,           0.0019682,           0.0019682,            0.074768
                   0,             0.10879,            0.050616,            0.045188,           0.0046876,             0.28226,           0.0029107,          0.00045155,             0.09997,            0.048202,            0.042291,             0.00012,             0.00012,             0.09892
                   1,            0.087894,            0.060627,            0.041778,             0.14222,             0.24507,             0.12637,             0.03568,            0.066505,            0.059245,            0.039353,           0.0002498,           0.0002498,             0.09775
                   2,            0.073754,            0.060811,            0.039373,             0.19671,             0.60732,             0.28016,            0.066974,            0.057583,            0.049807,            0.038587,           0.0003788,           0.0003788,            0.096579
                   3,            0.067844,            0.052072,              0.0379,              0.2909,             0.56881,             0.27551,            0.058847,            0.054094,            0.055669,            0.036898,          0.00050639,          0.00050639,            0.095406
                   4,            0.065245,            0.046856,             0.03607,             0.24196,             0.66097,             0.26242,            0.076404,            0.050994,            0.046619,            0.034641,          0.00063196,          0.00063196,            0.094232
                   5,            0.066029,            0.044654,             0.03471,             0.31249,             0.74996,             0.37524,              0.1561,            0.045607,            0.042181,            0.032921,          0.00075493,          0.00075493,            0.093055
                   6,            0.062185,            0.042886,            0.032993,             0.39823,             0.60683,             0.46633,             0.12928,            0.046631,            0.038528,            0.030394,          0.00087472,          0.00087472,            0.091875
                   7,             0.06226,            0.041071,            0.030444,             0.97017,             0.32292,             0.42259,             0.11542,            0.060525,            0.034521,            0.026768,          0.00099079,          0.00099079,            0.090691
                   8,            0.062001,            0.039829,            0.027405,             0.34401,             0.66337,             0.50886,             0.19862,            0.044037,             0.03624,            0.023591,           0.0011026,           0.0011026,            0.089503
                   9,            0.061137,            0.037939,            0.024662,             0.35772,             0.76203,             0.56236,             0.21035,            0.048121,            0.034019,            0.021887,           0.0012097,           0.0012097,             0.08831
                  10,            0.059175,            0.037477,            0.022755,             0.35329,             0.79703,             0.57912,             0.18613,            0.047465,            0.032591,            0.020776,           0.0013115,           0.0013115,            0.087112
                  11,            0.058414,            0.036632,            0.022115,             0.41791,             0.80363,              0.6203,             0.24778,            0.039363,            0.032587,            0.020309,           0.0014077,           0.0014077,            0.085908
                  12,            0.058218,            0.035503,            0.021344,             0.39822,             0.80493,             0.53057,             0.12204,            0.052153,             0.02993,            0.019851,           0.0014979,           0.0014979,            0.084698
                  13,            0.055036,            0.035938,            0.020778,              0.5697,             0.92814,             0.65771,             0.33123,            0.032964,            0.029234,            0.019517,           0.0015816,           0.0015816,            0.083482
                  14,            0.054053,            0.035022,            0.020507,             0.41625,             0.81805,              0.6398,             0.25198,            0.038573,            0.029503,            0.019323,           0.0016586,           0.0016586,            0.082259
                  15,            0.051565,            0.033805,            0.020449,             0.45358,             0.97371,             0.60205,             0.29949,            0.033888,            0.028129,            0.018874,           0.0017287,           0.0017287,            0.081029
                  16,            0.049001,            0.033861,            0.019738,             0.57966,             0.97107,             0.70593,             0.38501,             0.03371,            0.027429,            0.018547,           0.0017915,           0.0017915,            0.079792
                  17,            0.050829,            0.033101,            0.019567,             0.66713,             0.93564,             0.71334,              0.4022,            0.032778,            0.027528,            0.018356,            0.001847,            0.001847,            0.078547
                  18,            0.047938,            0.032582,            0.019256,             0.57655,             0.91584,             0.74944,             0.46145,            0.033562,            0.026017,            0.018054,            0.001895,            0.001895,            0.077295
                  19,            0.046783,            0.032602,            0.019016,             0.70708,              0.9604,             0.75141,             0.43638,            0.031698,            0.026034,            0.017659,           0.0019354,           0.0019354,            0.076035
                  20,            0.045191,            0.032173,            0.018659,             0.68113,              0.9591,             0.74755,             0.39524,            0.033994,            0.024908,            0.017218,           0.0019682,           0.0019682,            0.074768
                  21,            0.047802,            0.032685,            0.018633,             0.61015,              0.9749,             0.75004,             0.40049,             0.03154,            0.025296,              0.0169,           0.0019935,           0.0019935,            0.073494
                  22,             0.04296,            0.031311,            0.018337,             0.69857,             0.95202,             0.75371,             0.51133,            0.030016,            0.024497,             0.01674,           0.0020114,           0.0020114,            0.072211
                  23,            0.044115,            0.031032,            0.018052,             0.69827,             0.96865,             0.78175,             0.50678,            0.027607,            0.025103,            0.016151,           0.0020219,           0.0020219,            0.070922
                  24,            0.042649,             0.03236,            0.017563,             0.69419,              0.9868,             0.78637,             0.52413,            0.027557,            0.024209,            0.015713,           0.0020254,           0.0020254,            0.069625
                  25,             0.03989,            0.031678,            0.017414,             0.67152,              0.9881,              0.7417,             0.49565,             0.02646,            0.024601,            0.015432,            0.002022,            0.002022,            0.068322
                  26,            0.039735,            0.029883,            0.017069,             0.74721,              0.9703,             0.86728,             0.59856,            0.025659,            0.022608,            0.014489,           0.0020121,           0.0020121,            0.067012
                  27,            0.038872,            0.030625,            0.016894,             0.71271,             0.96368,             0.76551,             0.51547,              0.0253,            0.024559,            0.014376,            0.001996,            0.001996,            0.065696
                  28,            0.038785,            0.029866,            0.016501,             0.69472,              0.9744,             0.76934,             0.52823,            0.026804,            0.023613,            0.013911,           0.0019742,           0.0019742,            0.064374
                  29,            0.038888,            0.029255,            0.016379,             0.71465,             0.94368,             0.77241,             0.51277,             0.02507,            0.023712,            0.014401,            0.001947,            0.001947,            0.063047
                  30,            0.035969,            0.029649,            0.015972,             0.77994,             0.87789,             0.81037,             0.59521,            0.023442,            0.022703,            0.013546,           0.0019151,           0.0019151,            0.061715
                  31,            0.035612,            0.029835,            0.015783,             0.70893,              0.9901,              0.7913,             0.58127,            0.021563,            0.022501,            0.013784,           0.0018789,           0.0018789,            0.060379
                  32,            0.037341,            0.029394,             0.01572,              0.6907,              0.9736,             0.75615,             0.58042,            0.021499,            0.022317,            0.013324,           0.0018391,           0.0018391,            0.059039
                  33,            0.034278,            0.028696,            0.015628,             0.70588,              0.9736,             0.75906,              0.6053,            0.020371,            0.021735,            0.013447,           0.0017962,           0.0017962,            0.057696
